"tau2","model","heuristic","optDelta","minPsi","MIV","MISB","pc"
0,"Linear (1 factor)","Split",0.000169980392159938,0.333390019958941,0.333390019958941,0,0
0.004,"Linear (1 factor)","Split",0.0478905307273947,0.376530455015074,0.351624942988085,0.024905512026989,0.0447213595499958
0.008,"Linear (1 factor)","Split",0.0645241611623915,0.398293675688223,0.359222720609805,0.0390709550784179,0.0632455532033676
0.012,"Linear (1 factor)","Split",0.0763172247578367,0.416516039924157,0.365060866866984,0.051455173057173,0.0774596669241483
0.016,"Linear (1 factor)","Split",0.0857053821671796,0.432903057078057,0.369996140705183,0.0629069163728739,0.0894427190999916
0.02,"Linear (1 factor)","Split",0.0935628575985666,0.448116963085869,0.374333480135639,0.0737834829502298,0.0707106781186548
0.024,"Linear (1 factor)","Split",0.100382555847102,0.462498235320163,0.378257286239704,0.0842409490804593,0.0774596669241483
0.028,"Linear (1 factor)","Split",0.106428570174683,0.476249669355149,0.381864184130909,0.0943854852242405,0.0591607978309962
0.032,"Linear (1 factor)","Split",0.11183482336633,0.48950375901901,0.38519457275466,0.10430918626435,0.0632455532033676
0.036,"Linear (1 factor)","Split",0.1167637850397,0.502352810329763,0.388319699441773,0.11403311088799,0.134164078649987
0.04,"Linear (1 factor)","Split",0.121292848789214,0.514864234097928,0.391267590750793,0.123596643347135,0.14142135623731
0.044,"Linear (1 factor)","Split",0.125434255970469,0.527089076085854,0.394028386186483,0.133060689899371,0.148323969741913
0.048,"Linear (1 factor)","Split",0.129304214551035,0.53906712692813,0.396665507453685,0.142401619474445,0.154919333848297
0.052,"Linear (1 factor)","Split",0.132916643491662,0.550830126537635,0.399177833330544,0.151652293207091,0.161245154965971
0.056,"Linear (1 factor)","Split",0.136342653675603,0.562403890782973,0.401606342979102,0.160797547803871,0.118321595661992
0.06,"Linear (1 factor)","Split",0.139487330716903,0.573809758388769,0.403875167296479,0.16993459109229,0.122474487139159
0.064,"Linear (1 factor)","Split",0.142522497243234,0.585065614467222,0.406101430334885,0.178964184132337,0.0894427190999916
0.068,"Linear (1 factor)","Split",0.145352171805232,0.596186620767963,0.408209511820572,0.187977108947392,0.0921954445729289
0.072,"Linear (1 factor)","Split",0.148032177802637,0.607185769614753,0.410235283043235,0.196950486571518,0.189736659610103
0.076,"Linear (1 factor)","Split",0.150583609975458,0.618074289793775,0.412190441834228,0.205883847959546,0.194935886896179
0.08,"Linear (1 factor)","Split",0.152980835123046,0.628861957218126,0.414051196241553,0.214810760976573,0.2
0.084,"Linear (1 factor)","Split",0.155300854663862,0.639557351486087,0.415874063809562,0.223683287676524,0.204939015319192
0.088,"Linear (1 factor)","Split",0.157510949754207,0.650168043107286,0.417630819567639,0.232537223539647,0.20976176963403
0.092,"Linear (1 factor)","Split",0.159577742943536,0.660700735677339,0.419291623211374,0.241409112465964,0.151657508881031
0.096,"Linear (1 factor)","Split",0.161588233488629,0.671161422698022,0.420923890454946,0.250237532243076,0.154919333848297
0.1,"Linear (1 factor)","Split",0.163504650611351,0.681555460126,0.42249516144722,0.259060298678779,0.111803398874989
0.104,"Linear (1 factor)","Split",0.165340293603133,0.691887662946903,0.424014312782857,0.267873350164046,0.114017542509914
0.108,"Linear (1 factor)","Split",0.167100278446259,0.702162374763392,0.42548383514101,0.276678539622382,0.232379000772445
0.112,"Linear (1 factor)","Split",0.168789284300031,0.712383526128973,0.426906061274832,0.285477464854141,0.236643191323985
0.116,"Linear (1 factor)","Split",0.170409149959873,0.72255468446742,0.428281090449567,0.294273594017853,0.240831891575846
0.12,"Linear (1 factor)","Split",0.171959596357315,0.732679097367274,0.429607306707912,0.303071790659362,0.244948974278318
0.124,"Linear (1 factor)","Split",0.173457002649713,0.742759725103849,0.430897546226973,0.311862178876876,0.248997991959775
0.128,"Linear (1 factor)","Split",0.174913767457363,0.752799274253124,0.432161622835702,0.320637651417422,0.178885438199983
0.132,"Linear (1 factor)","Split",0.176316129394981,0.762800232704462,0.433386740008012,0.32941349269645,0.18165902124585
0.136,"Linear (1 factor)","Split",0.177667071148607,0.772764879403886,0.434574581845323,0.338190297558562,0.130384048104053
0.14,"Linear (1 factor)","Split",0.178928679806091,0.782695309028361,0.435690644833254,0.347004664195107,0.13228756555323
0.144,"Linear (1 factor)","Split",0.180184933215014,0.792593455504073,0.436808458933719,0.355784996570354,0.268328157299975
0.148,"Linear (1 factor)","Split",0.181397557552075,0.802461107329583,0.43789358493312,0.364567522396463,0.272029410174709
0.152,"Linear (1 factor)","Split",0.182568811407643,0.812299916075419,0.43894740115152,0.373352514923899,0.275680975041804
0.156,"Linear (1 factor)","Split",0.183700805083601,0.822111411908945,0.439971217147683,0.382140194761261,0.279284800875379
0.16,"Linear (1 factor)","Split",0.184795511704188,0.831897014662227,0.440966276877034,0.390930737785193,0.282842712474619
0.164,"Linear (1 factor)","Split",0.185883971177247,0.841658046806657,0.44196049057068,0.399697556235977,0.202484567313166
0.168,"Linear (1 factor)","Split",0.186884169769075,0.85139572578991,0.442878324525051,0.408517401264858,0.204939015319192
0.172,"Linear (1 factor)","Split",0.187873792251247,0.86111120774588,0.44379043957365,0.41732076817223,0.146628782986152
0.176,"Linear (1 factor)","Split",0.188877373112105,0.870805550182048,0.444719459109305,0.426086091072743,0.148323969741913
0.18,"Linear (1 factor)","Split",0.189811113353229,0.880479751983102,0.445587470155929,0.434892281827172,0.3
0.184,"Linear (1 factor)","Split",0.190717044771243,0.890134747457912,0.446432977407181,0.443701770050731,0.303315017762062
0.188,"Linear (1 factor)","Split",0.191596425813551,0.899771409848097,0.447256849712192,0.452514560135905,0.306594194335118
0.192,"Linear (1 factor)","Split",0.192491133199308,0.909390557295883,0.448098250889398,0.461292306406486,0.309838667696593
0.196,"Linear (1 factor)","Split",0.193320895334574,0.918992947735959,0.448881425267744,0.470111522468215,0.313049516849971
0.2,"Linear (1 factor)","Split",0.194129489897881,0.928579312438673,0.449647250125858,0.478932062312815,0.223606797749979
